text,label
"i don't know if frailty will turn bill paxton into an a-list director , but he can rest contentedly with the knowledge that he's made at least one damn fine horror movie .",1
"flawed , but worth seeing for ambrose's performance .",1
a jaw-droppingly beautiful work that upends nearly every cliché of japanese animation while delivering a more than satisfactory amount of carnage .,1
many of benjamins' elements feel like they've been patched in from an episode of miami vice .,0
"vibrantly colored and beautifully designed , metropolis is a feast for the eyes .",1
"screenwriter chris ver weil's directing debut is good-natured and never dull , but its virtues are small and easily overshadowed by its predictability .",0
the dark and bittersweet twist feels strange as things turn nasty and tragic during the final third of the film . first-timer john mckay is never able to pull it back on course .,0
it's a diverting enough hour-and-a-half for the family audience .,1
if you dig on david mamet's mind tricks . . . rent this movie and enjoy !,1
"an entertaining , colorful , action-filled crime story with an intimate heart .",1
"on a certain base level , blue crush delivers what it promises , just not well enough to recommend it .",0
imagine if you will a tony hawk skating video interspliced with footage from behind enemy lines and set to jersey shore techno .,0
now here's a sadistic bike flick that would have made vittorio de sica proud .,0
"jones . . . makes a great impression as the writer-director of this little $1 . 8 million charmer , which may not be cutting-edge indie filmmaking but has a huge heart .",1
"it's so tedious that it makes you forgive every fake , dishonest , entertaining and , ultimately , more perceptive moment in bridget jones's diary .",0
my wife is an actress works as well as it does because [the leads] are such a companionable couple .,1
"affectionately reminds us that , in any language , the huge stuff in life can usually be traced back to the little things .",1
"demonstrates the unusual power of thoughtful , subjective filmmaking .",1
this time kaufman's imagination has failed him .,0
"cantet beautifully illuminates what it means sometimes to be inside looking out , and at other times outside looking in .",1
"lan yu seems altogether too slight to be called any kind of masterpiece . it is , however , a completely honest , open-hearted film that should appeal to anyone willing to succumb to it .",1
"it is far from the worst , thanks to the topical issues it raises , the performances of stewart and hardy , and that essential feature -- a decent full-on space battle .",1
i'm not generally a fan of vegetables but this batch is pretty cute .,1
"despite auteuil's performance , it's a rather listless amble down the middle of the road , where the thematic ironies are too obvious and the sexual politics too smug .",0
"the story , like life , refuses to be simple , and the result is a compelling slice of awkward emotions .",1
the issue of faith is not explored very deeply,0
"stevenson's performance is at once clueless and fiercely committed , a volatile combination .",1
"the film flat lines when it should peak and is more missed opportunity and trifle than dark , decadent truffle .",0
"the story is -- forgive me -- a little thin , and the filmmaking clumsy and rushed .",0
"a hard look at one man's occupational angst and its subsequent reinvention , a terrifying study of bourgeois desperation worthy of claude chabrol .",1
"it's badly acted , blandly directed , and could have been scripted by someone who just graduated from elementary school .",0
"apart from dazzling cinematography , we've seen just about everything in blue crush in one form or the other .",0
this is really just another genre picture .,0
wait for it to hit cable .,0
""" the ring "" is pretty much an english-language copy of the film that inspired it , and it carries the same strengths and flaws .",1
"watching austin powers in goldmember is like binging on cotton candy . it's sweet and fluffy at the time , but it may leave you feeling a little sticky and unsatisfied .",0
"we've seen it all before in one form or another , but director hoffman , with great help from kevin kline , makes us care about this latest reincarnation of the world's greatest teacher .",1
the story really has no place to go since simone is not realshe can't provide any conflict .,0
"an authentically vague , but ultimately purposeless , study in total pandemonium .",0
"it's consistently funny , in an irresistible junior-high way , and consistently free of any gag that would force you to give it a millisecond of thought .",1
the crassness of this reactionary thriller is matched only by the ridiculousness of its premise .,0
"while easier to sit through than most of jaglom's self-conscious and gratingly irritating films , it's still tainted by cliches , painful improbability and murky points .",0
fulford-wierzbicki . . . deftly captures the wise-beyond-her-years teen .,1
"unlike the speedy wham-bam effect of most hollywood offerings , character development -- and more importantly , character empathy -- is at the heart of italian for beginners .",1
"has a certain ghoulish fascination , and generates a fair amount of b-movie excitement .",1
". . . begins with promise , but runs aground after being snared in its own tangled plot .",1
"the wwii drama is well plotted , visually striking and filled with enjoyably complex characters who are never what they first appear .",1
"whether or not you're enlightened by any of derrida's lectures on "" the other "" and "" the self , "" derrida is an undeniably fascinating and playful fellow .",1
shocking only in that it reveals the filmmaker's bottomless pit of self-absorption .,0
tsai convincingly paints a specifically urban sense of disassociation here .,1
"offensive in the way it exploits the hot-button issue of domestic abuse for cheap thrills and disgusting in the manner it repeatedly puts a small child in jeopardy , treating her as little more than a prop to be cruelly tormented .",0
"never again swings between false sentiment and unfunny madcap comedy and , along the way , expects the audience to invest in the central relationship as some kind of marriage of true minds .",0
"it's mildly interesting to ponder the peculiar american style of justice that plays out here , but it's so muddled and derivative that few will bother thinking it all through .",0
one of the best rock documentaries ever . wilco is a phenomenal band with such an engrossing story that will capture the minds and hearts of many .,1
"despite its sincere acting , signs is just another unoriginal run of the mill sci-fi film with a flimsy ending and lots of hype .",0
possibly not since grumpy old men have i heard a film so solidly connect with one demographic while striking out with another .,0
"what is captured during the conceptual process doesn't add up to a sufficient explanation of what the final dance work , the selection , became in its final form .",0
"it's an earnest debut full of heartfelt performances , but is ultimately let down by a story that is all too predictable .",0
the plot plummets into a comedy graveyard before janice comes racing to the rescue in the final reel .,0
"as janice , eileen walsh , an engaging , wide-eyed actress whose teeth are a little too big for her mouth , infuses the movie with much of its slender , glinting charm .",1
it's mired in a shabby script that piles layer upon layer of action man cliché atop wooden dialogue and a shifting tone that falls far short of the peculiarly moral amorality of [woo's] best work .,0
not a stereotype is omitted nor a cliché left unsaid .,0
feral and uncomfortable .,1
"williams plays sy , another of his open-faced , smiling madmen , like the killer in insomnia . he does this so well you don't have the slightest difficulty accepting him in the role .",1
"i know we're not supposed to take it seriously , but i can't shake the thought that undercover brother missed an opportunity to strongly present some profound social commentary .",0
there is not an ounce of honesty in the entire production .,0
you may be galled that you've wasted nearly two hours of your own precious life with this silly little puddle of a movie .,0
"unfortunately , one hour photo lives down to its title . thanks largely to williams , all the interesting developments are processed in 60 minutes -- the rest is just an overexposed waste of film .",0
"as adapted by kevin molony from simon leys' novel "" the death of napoleon "" and directed by alan taylor , napoleon's journey is interesting but his parisian rebirth is stillborn",1
"there is a refreshing absence of cynicism in stuart little 2--quite a rarity , even in the family film market . eventually , it wins you over .",1
"although fairly involving as far as it goes , the film doesn't end up having much that is fresh to say about growing up catholic or , really , anything .",1
the pleasure of read my lips is like seeing a series of perfect black pearls clicking together to form a string . we're drawn in by the dark luster .,1
it's a satisfying summer blockbuster and worth a look .,1
"there's no doubting that this is a highly ambitious and personal project for egoyan , but it's also one that , next to his best work , feels clumsy and convoluted .",0
hayek is stunning as frida and . . . a star-making project .,1
"despite the predictable parent vs . child coming-of-age theme , first-class , natural acting and a look at "" the real americans "" make this a charmer .",1
"you wouldn't want to live waydowntown , but it is a hilarious place to visit .",1
really does feel like a short stretched out to feature length .,0
"giggling at the absurdities and inconsistencies is part of the fun . but the talented cast alone will keep you watching , as will the fight scenes .",1
. . . the kind of movie you see because the theater has air conditioning .,0
a wildly inconsistent emotional experience .,0
"a sly female empowerment movie , although not in a way anyone would expect .",1
"if you haven't seen the film lately , you may be surprised at the variety of tones in spielberg's work . much of it is funny , but there are also some startling , surrealistic moments . . .",1
writer-director juan carlos fresnadillo makes a feature debut that is fully formed and remarkably assured .,1
"unless you're a fanatic , the best advice is : 'scooby' don't .",0
"the stars may be college kids , but the subject matter is as adult as you can get : the temptations of the flesh are unleashed by a slightly crazed , overtly determined young woman and a one-night swim turns into an ocean of trouble .",1
"it cuts to the core of what it actually means to face your fears , to be a girl in a world of boys , to be a boy truly in love with a girl , and to ride the big metaphorical wave that is life -- wherever it takes you .",1
"well-written , nicely acted and beautifully shot and scored , the film works on several levels , openly questioning social mores while ensnaring the audience with its emotional pull .",1
the auteur's ear for the way fears and slights are telegraphed in the most blithe exchanges gives the film its lingering tug .,1
"whether kiss is a future cult classic or destined to be completely forgotten is open to question , but the risk-takers in the crowd should check it out and form their own opinion .",1
it aimlessly and unsuccessfully attempts to fuse at least three dull plots into one good one .,0
the ya-ya's have many secrets and one is - the books are better . translating complex characters from novels to the big screen is an impossible task but they are true to the essence of what it is to be ya-ya .,1
"it's push-the-limits teen comedy , the type written by people who can't come up with legitimate funny , and it's used so extensively that good bits are hopelessly overshadowed .",0
it is not the first time that director sara sugarman stoops to having characters drop their pants for laughs and not the last time she fails to provoke them .,0
"being unique doesn't necessarily equate to being good , no matter how admirably the filmmakers have gone for broke .",0
"for all the wit and hoopla , festival in cannes offers rare insight into the structure of relationships .",1
"a depraved , incoherent , instantly disposable piece of hackery .",0
"the asylum material is gripping , as are the scenes of jia with his family .",1
what makes the movie special is its utter sincerity .,1
a stylish thriller .,1
"the heedless impetuousness of youth is on full , irritating display in [this] meandering and pointless french coming-of-age import from writer-director anne-sophie birot .",0
"all the actors are good in pauline & paulette but van der groen , described as 'belgium's national treasure , ' is especially terrific as pauline .",1
"its over-reliance on genre conventions , character types and formulaic conflict resolutions crushes all the goodwill it otherwise develops .",0
the element of surprise might be the only thing femme fatale has going for it .,0
it's always fascinating to watch marker the essayist at work .,1
abderrahmane sissako's heremakono ( waiting for happiness ) is an elegiac portrait of a transit city on the west african coast struggling against foreign influences .,1
"by presenting an impossible romance in an impossible world , pumpkin dares us to say why either is impossible -- which forces us to confront what's possible and what we might do to make it so .",1
it wouldn't be my preferred way of spending 100 minutes or $7 . 00 .,0
"an absorbing , slice-of-depression life that touches nerves and rings true .",1
ice cube holds the film together with an engaging and warm performance . . .,1
the inherent limitations of using a video game as the source material movie are once again made all too clear in this schlocky horror/action hybrid .,0
the things this movie tries to get the audience to buy just won't fly with most intelligent viewers .,0
"by surrounding us with hyper-artificiality , haynes makes us see familiar issues , like racism and homophobia , in a fresh way .",1
succeeds where its recent predecessor miserably fails because it demands that you suffer the dreadfulness of war from both sides .,1
". . . has about 3/4th the fun of its spry 2001 predecessor  but it's a rushed , slapdash , sequel-for-the-sake- of-a-sequel with less than half the plot and ingenuity .",0
"as comedic spotlights go , notorious c . h . o . hits all the verbal marks it should .",1
"the vampire thriller blade ii starts off as a wild hoot and then sucks the blood out of its fun  toward the end , you can feel your veins cringing from the workout .",0
borrows from other movies like it in the most ordinary and obvious fashion .,0
"i'm guessing the director is a magician . after all , he took three minutes of dialogue , 30 seconds of plot and turned them into a 90-minute movie that feels five hours long .",0
"[city] reminds us how realistically nuanced a robert de niro performance can be when he is not more lucratively engaged in the shameless self-caricature of 'analyze this' ( 1999 ) and 'analyze that , ' promised ( or threatened ) for later this year .",1
"it's a boring movie about a boring man , made watchable by a bravura performance from a consummate actor incapable of being boring .",0
one of those terrific documentaries that collect a bunch of people who are enthusiastic about something and then figures out how to make us share their enthusiasm .,1
"lástima por schwarzenegger , pero es hora de que deje la estafeta a las nuevas generaciones .",0
collateral damage finally delivers the goods for schwarzenegger fans .,1
"far more imaginative and ambitious than the trivial , cash-in features nickelodeon has made from its other animated tv series .",1
"as a singular character study , it's perfect . it's also the year's sweetest movie .",1
"never quite transcends jokester status . . . and the punchline doesn't live up to barry's dead-eyed , perfectly chilled delivery .",0
plays out with a dogged and eventually winning squareness that would make it the darling of many a kids-and-family-oriented cable channel .,1
a incompetência de marcus adams como roteirista só é superada por sua péssima direção .,0
a captivating new film .,1
one of the oddest and most inexplicable sequels in movie history .,0
"ambitious , unsettling psychodrama that takes full , chilling advantage of its rough-around-the-edges , low-budget constraints .",1
"if jews were catholics , this would be catechism",0
"the film may appear naked in its narrative form . . . but it goes deeper than that , to fundamental choices that include the complexity of the catholic doctrine",1
one of those exceedingly rare films in which the talk alone is enough to keep us involved .,1
"nicks refuses to let slackers be seen as just another teen movie , which means he can be forgiven for frequently pandering to fans of the gross-out comedy .",0
"when the fire burns out , we've only come face-to-face with a couple dragons and that's where the film ultimately fails .",0
"one of the most haunting , viciously honest coming-of-age films in recent memory .",1
"a timid , soggy near miss .",0
"what little atmosphere is generated by the shadowy lighting , macabre sets , and endless rain is offset by the sheer ugliness of everything else .",0
tends to plod .,0
"isn't as sharp as the original . . . despite some visual virtues , 'blade ii' just doesn't cut it .",0
"die another day is only intermittently entertaining but it's hard not to be a sucker for its charms , or perhaps it's just impossible not to feel nostalgia for movies you grew up with .",0
"sandra nettelbeck beautifully orchestrates the transformation of the chilly , neurotic , and self-absorbed martha as her heart begins to open .",1
"the weird thing about the santa clause 2 , purportedly a children's movie , is that there is nothing in it to engage children emotionally .",0
the sum of all fears is almost impossible to follow -- and there's something cringe-inducing about seeing an american football stadium nuked as pop entertainment .,0
the journey toward redemption feels more like a cinematic experiment than a full-blown movie .,0
"this ecologically minded , wildlife friendly film teaches good ethics while entertaining with its unconventionally wacky but loving family",1
"while undisputed isn't exactly a high , it is a gripping , tidy little movie that takes mr . hill higher than he's been in a while .",1
a wild ride of a movie that keeps throwing fastballs .,1
"you won't like roger , but you will quickly recognize him . and that's a big part of why we go to the movies .",1
"it's so laddish and juvenile , only teenage boys could possibly find it funny .",0
an unabashedly schmaltzy and thoroughly enjoyable true story .,1
a delightful entree in the tradition of food movies .,1
"a comedy that is warm , inviting , and surprising .",1
a crude teen-oriented variation on a theme that the playwright craig lucas explored with infinitely more grace and eloquence in his prelude to a kiss .,0
"not the kind of film that will appeal to a mainstream american audience , but there is a certain charm about the film that makes it a suitable entry into the fest circuit .",1
"not only are the special effects and narrative flow much improved , and daniel radcliffe more emotionally assertive this time around as harry , but the film conjures the magic of author j . k . rowling's books .",1
"cute , funny , heartwarming digitally animated feature film with plenty of slapstick humor for the kids , lots of in-jokes for the adults and heart enough for everyone .",1
the movie is pretty funny now and then without in any way demeaning its subjects .,1
"andersson creates a world that's at once surreal and disturbingly familiar ; absurd , yet tremendously sad .",1
more tiring than anything .,0
"this movie is something of an impostor itself , stretching and padding its material in a blur of dead ends and distracting camera work .",0
"for a debut film , skin of man , heart of beast feels unusually assured .",1
"vividly conveys the passion , creativity , and fearlessness of one of mexico's most colorful and controversial artists -- a captivating drama that will speak to the nonconformist in us all .",1
"bad in such a bizarre way that it's almost worth seeing , if only to witness the crazy confluence of purpose and taste .",0
"all right , so it's not a brilliant piece of filmmaking , but it is a funny ( sometimes hilarious ) comedy with a deft sense of humor about itself , a playful spirit and a game cast .",1
"with its paint fights , motorized scooter chases and dewy-eyed sentiment , it's a pretty listless collection of kid-movie clichés .",0
"like mike isn't going to make box office money that makes michael jordan jealous , but it has some cute moments , funny scenes , and hits the target audience ( young bow wow fans ) - with nothing but net .",1
most folks with a real stake in the american sexual landscape will find it either moderately amusing or just plain irrelevant .,0
"it's of the quality of a lesser harrison ford movie - six days , seven nights , maybe , or that dreadful sabrina remake .",0
an inelegant combination of two unrelated shorts that falls far short of the director's previous work in terms of both thematic content and narrative strength .,0
"occasionally loud and offensive , but more often , it simply lulls you into a gentle waking coma .",0
"the film takes the materials of human tragedy and dresses them in lovely costumes , southern california locations and star power .",0
""" roger michell ( "" notting hill "" ) directs a morality thriller . """,0
the movie bounces all over the map .,0
ja rule and kurupt should have gotten to rap . it would have benefitted the dialogue .,0
"after the setup , the air leaks out of the movie , flattening its momentum with about an hour to go .",0
"if a big musical number like 'praise the lord , he's the god of second chances' doesn't put you off , this will be an enjoyable choice for younger kids .",1
"though frodo's quest remains unfulfilled , a hardy group of determined new zealanders has proved its creative mettle .",1
it's fairly solid--not to mention well edited so that it certainly doesn't feel like a film that strays past the two and a half mark .,1
buries an interesting storyline about morality and the choices we make underneath such a mountain of clichés and borrowed images that it might more accurately be titled mr . chips off the old block .,0
the isolated moments of creative insanity finally are lost in the thin soup of canned humor .,0
worth watching for dong jie's performance -- and for the way it documents a culture in the throes of rapid change .,1
"whatever the movie's sentimental , hypocritical lessons about sexism , its true colors come out in various wet t-shirt and shower scenes .",0
"at its best , which occurs often , michael moore's bowling for columbine rekindles the muckraking , soul-searching spirit of the 'are we a sick society ? ' journalism of the 1960s .",1
it's a great deal of sizzle and very little steak . but what spectacular sizzle it is ! . . . in this incarnation its fizz is infectious .,1
"what's at stake in this film is nothing more than an obsolete , if irritating , notion of class .",0
incoherence reigns .,0
"a new film from bill plympton , the animation master , is always welcome .",1
"its message has merit and , in the hands of a brutally honest individual like prophet jack , might have made a point or two regarding life .",0
an off-beat and fanciful film about the human need for monsters to blame for all that is amiss in the world .,1
"although the level of the comedy declines as the movie proceeds , there's no denying the fun of watching de niro and crystal having fun .",1
"sweet gentle jesus , did the screenwriters just do a cut-and-paste of every bad action-movie line in history ?",0
"director ferzan ozpetek creates an interesting dynamic with the members of this group , who live in the same apartment building . but he loses his focus when he concentrates on any single person .",0
"it's not original , and , robbed of the element of surprise , it doesn't have any huge laughs in its story of irresponsible cops who love to play pranks .",0
"it's funny and human and really pretty damned wonderful , all at once .",1
the only element of suspense is whether the movie will change titles or distributors again before the closing credits roll .,0
it made me realize that we really haven't had a good cheesy b-movie playing in theaters since . . . well . . . since last week's reign of fire .,0
credibility sinks into a mire of sentiment .,0
"you wouldn't call the good girl a date movie ( an anti-date movie is more like it ) , but when it's good , it's good and horrid .",1
"this is unusual , food-for-thought cinema that's as entertaining as it is instructive .",1
"smith's approach is never to tease , except gently and in that way that makes us consider our own eccentricities and how they are expressed through our homes .",1
"it comes off as so silly that you wouldn't be surprised if ba , murdock and rest of the a-team were seen giving chase in a black and red van .",0
what a stiflingly unfunny and unoriginal mess this is !,0
"a gorgeous , somnolent show that is splendidly mummified and thoroughly unsurprising .",0
"is truth stranger than fiction ? in [screenwriter] charlie kaufman's world , truth and fiction are equally strange , and his for the taking .",1
"like the original , this version is raised a few notches above kiddie fantasy pablum by allen's astringent wit .",1
"the movie is as far as you can get from racy , to the point where it almost stops the blood flow to your brain ; it has a dull , costumey feel .",0
a rare and lightly entertaining look behind the curtain that separates comics from the people laughing in the crowd .,1
a disturbing and frighteningly evocative assembly of imagery and hypnotic music composed by philip glass .,1
a winning comedy with its wry observations about long-lived friendships and the ways in which we all lose track of ourselves by trying to please others .,1
"it's hard to imagine anybody ever being "" in the mood "" to view a movie as harrowing and painful as the grey zone , but it's equally hard to imagine anybody being able to tear their eyes away from the screen once it's started .",1
the best that can be said about the work here of scottish director ritchie . . . is that he obviously doesn't have his heart in it .,0
"these self-styled athletes have banged their brains into the ground so frequently and furiously , their capacity to explain themselves has gone the same way as their natural instinct for self-preservation .",0
a richly imagined and admirably mature work from a gifted director who definitely has something on his mind .,1
those with an interest in new or singular sorts of film experiences will find what time is it there ? well worth the time .,1
"deep down , i realized the harsh reality of my situation : i would leave the theater with a lower i . q . than when i had entered .",0
"' . . . the film's considered approach to its subject matter is too calm and thoughtful for agitprop , and the thinness of its characterizations makes it a failure as straight drama . '",1
"a romantic comedy , yes , but one with characters who think and talk about their goals , and are working on hard decisions .",1
"birot creates a drama with such a well-defined sense of place and age -- as in , 15 years old -- that the torments and angst become almost as operatic to us as they are to her characters .",1
"as animation increasingly emphasizes the computer and the cool , this is a film that takes a stand in favor of tradition and warmth .",1
passably entertaining but also mechanical and joyless .,0
"utterly lacking in charm , wit and invention , roberto benigni's pinocchio is an astonishingly bad film .",0
"for all its technical virtuosity , the film is so mired in juvenile and near-xenophobic pedagogy that it's enough to make one pine for the day when godard can no longer handle the rigors of filmmaking .",0
"a compelling , moving film that respects its audience and its source material .",1
both a grand tour through 300 hundred years of russian cultural identity and a stunning technical achievement .,1
"a pale xerox of other , better crime movies .",0
"the movie's ultimate point -- that everyone should be themselves -- is trite , but the screenwriter and director michel gondry restate it to the point of ridiculousness .",0
"a bright , inventive , thoroughly winning flight of revisionist fancy .",1
"got some good , organic character work , lots of obvious political insights and little room for engaging , imaginative filmmaking in its nearly 2 1/2-hour , dissipated length .",0
shallow .,0
"it's [ricci's] best work yet , this girl-woman who sincerely believes she can thwart the world's misery with blind good will .",1
"a teasing drama whose relentless good-deed/bad-deed reversals are just interesting enough to make a sinner like me pray for an even more interesting , less symmetrical , less obviously cross-shaped creation .",1
"best of all is garcia , who perfectly portrays the desperation of a very insecure man .",1
[sen's] soap opera-ish approach undermines his good intentions .,0
"like all of egoyan's work , ararat is fiercely intelligent and uncommonly ambitious .",1
"simultaneously heart-breaking and very funny , the last kiss is really all about performances .",1
. . . think of it as american pie on valium .,0
"like coming into a long-running , well-written television series where you've missed the first half-dozen episodes and probably won't see the next six .",0
"so mind-numbingly awful that you hope britney won't do it one more time , as far as movies are concerned .",0
"it's a powerful though flawed movie , guaranteed to put a lump in your throat while reaffirming washington as possibly the best actor working in movies today .",1
"responsável direto pelo fracasso 'artístico' de doce lar , o roteirista c . jay cox não consegue sequer aproveitar os pouquíssimos momentos em que escapa da mediocridade .",0
"hilarious , touching and wonderfully dyspeptic .",1
"pacino and williams seem to keep upping the ante on each other , just as their characters do in the film . what results is the best performance from either in years .",1
a fanciful drama about napoleon's last years and his surprising discovery of love and humility .,1
moretti's compelling anatomy of grief and the difficult process of adapting to loss .,1
"if you sometimes like to go to the movies to have fun , wasabi is a good place to start .",1
"the leads are so unmemorable , despite several attempts at lengthy dialogue scenes , that one eventually resents having to inhale this gutter romancer's secondhand material .",0
"the actresses may have worked up a back story for the women they portray so convincingly , but viewers don't get enough of that background for the characters to be involving as individuals rather than types .",0
"there's something deeply creepy about never again , a new arrow in schaeffer's quiver of ineptitudes .",0
"while not as aggressively impressive as its american counterpart , "" in the bedroom , "" moretti's film makes its own , quieter observations",1
director david jacobson gives dahmer a consideration that the murderer never game his victims .,1
"huppert's show to steal and she makes a meal of it , channeling kathy baker's creepy turn as the repressed mother on boston public just as much as 8 women's augustine .",1
sits uneasily as a horror picture . . . but finds surprising depth in its look at the binds of a small family .,1
bubba ho-tep is a wonderful film with a bravura lead performance by bruce campbell that doesn't deserve to leave the building until everyone is aware of it .,1
it manages to squeeze by on angelina jolie's surprising flair for self-deprecating comedy .,1
"wendigo wants to be a monster movie for the art-house crowd , but it falls into the trap of pretention almost every time .",0
there are moments of hilarity to be had .,1
roman polanski's autobiographical gesture at redemption is better than 'shindler's list' - it is more than merely a holocaust movie .,1
